source_term,target_term,wrong_outputs,trigger_terms,domain,note
solvent exhaust,有机排风,溶剂排气,solvent exhaust;organic exhaust,semiconductor/exhaust,
scrubber,洗涤塔,洗涤器;scrubbers,scrubber;scrubbers;wet scrubber;dry scrubber,semiconductor/exhaust,
abatement,废气处理,减排;削减,abatement;gas abatement;point of use abatement,semiconductor/exhaust,
make-up air unit,新风机组,补风单元,make-up air unit;makeup air unit;MAU,cleanroom/HVAC,
MAU,新风机组,MAU,MAU;make-up air unit;makeup air unit,cleanroom/HVAC,
FFU,风机过滤单元,风扇过滤单元,FFU;fan filter unit,cleanroom/HVAC,
return air chase,回风夹道,返回空气井,return air chase;return air shaft,cleanroom/HVAC,
raised floor,架空地板,升高地板,raised floor;access floor,cleanroom,
sub-fab,下技术夹层,子工厂;地下厂房,sub-fab;sub fab;subfab,semiconductor/facility,
interstitial space,技术夹层,间隙空间,interstitial space;interstitial level,cleanroom/facility,
bay and chase,工艺区与服务夹道,海湾和追逐,bay and chase;bay/chase,semiconductor/facility,
mini-environment,微环境,小环境,mini-environment;mini environment,semiconductor/cleanroom,
airborne molecular contamination,空气分子污染,空气传播分子污染,AMC;airborne molecular contamination,cleanroom,
AMC,空气分子污染,AMC,AMC;airborne molecular contamination,cleanroom,
particle count,粒子计数,颗粒数量,particle count;particle counting,cleanroom,
ISO Class 5,ISO 5级,ISO等级5,ISO Class 5;ISO 5,cleanroom,
ISO Class 6,ISO 6级,ISO等级6,ISO Class 6;ISO 6,cleanroom,
ISO Class 7,ISO 7级,ISO等级7,ISO Class 7;ISO 7,cleanroom,
ISO Class 8,ISO 8级,ISO等级8,ISO Class 8;ISO 8,cleanroom,
gowning room,更衣室,穿衣房,gowning room;change room,cleanroom,
air shower,风淋室,空气淋浴,air shower,cleanroom,
clean corridor,洁净走廊,清洁走廊,clean corridor,cleanroom,
gray area,灰区,灰色区域,gray area;grey area,cleanroom/zoning,
white area,白区,白色区域,white area,cleanroom/zoning,
tool hook-up,设备二次配,工具连接;设备连接,tool hook-up;tool hookup;hook-up,semiconductor/facility,
hook-up drawing,二次配图,连接图,hook-up drawing;hookup drawing,semiconductor/facility,
utility matrix,公用工程矩阵,实用矩阵,utility matrix,semiconductor/facility,
gas cabinet,气柜,煤气柜,gas cabinet;gas cabinets,semiconductor/gas,
VMB,阀门分配箱,VMB,VMB;valve manifold box,semiconductor/gas,
VMP gas panel,气体阀组盘,VMP面板,VMP gas panel;valve manifold panel,semiconductor/gas,
chemical delivery system,化学品供应系统,化学输送系统,chemical delivery system;CDS,semiconductor/chemical,
CDS,化学品供应系统,CDS,CDS;chemical delivery system,semiconductor/chemical,
slurry,研磨液,浆料,slurry;CMP slurry,semiconductor/chemical,
waste chemical,废液,废化学品,waste chemical;chemical waste;waste chemicals,semiconductor/chemical,
